Program_Combo,ID,Count
"C25310H2 - Medical Office Administration, C45420H1 - Medical Laboratory Technology/Clinical Laboratory Aide Cert",[2995523.0],1
"C25310C8 - Medical Office Administration/Adv Coding and Auditing Cert, C45180 - Central Sterile Processing (Certificate)",[2870630.0],1
"C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C8 - Medical Office Administration/Adv Coding and Auditing Cert",[2952360.0],1
"C25310C3 - Medical Office Administration/Dental Office Spec Certificate, C25310C7 - Medical Office Administration/Healthcare Doucment Spec Cert, C25310C9 - Medical Office Administration/Electronic Health Records Spec, C25370C1 - Office Management/Basic Office Management Certificate",[2939250.0],1
"C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C5 - Medical Office Administration/Patient Services Rep Cert",[1420603.0],1
"C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C6 - Medical Office Administration/Electronic Billing Spec Cert",[2917208.0],1
"C25120H1 - Business Administration, C35140H2 - Building Construction Technology/General Maintenance Cert",[3004600.0],1
"C25120H1 - Business Administration, C35100H1 - Air Conditioning, Heating & Refrigeration Technology/Basic",[3006820.0],1
"C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C3 - Medical Office Administration/Dental Office Spec Certificate, C25310C4 - Medical Office Administration/Inpatient Med Coding Spec Cert",[404678.0],1
"C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C3 - Medical Office Administration/Dental Office Spec Certificate",[2973639.0],1
"C25120H1 - Business Administration, C55400H1 - Manicuring/Nail Technology (Certificate)",[2982517.0],1
"C25290C2 - Web Technologies/Web Programming Certificate, C25290C4 - Web Technologies/Web Back-Office Certificate",[2475797.0],1
"C25120H1 - Business Administration, C55150H2 - Culinary Arts",[3005968.0],1
"C25120H1 - Business Administration, C55180H1 - Criminal Justice Technology/Introduct Criminal Justice Cert",[2987675.0],1
"C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C25 - Business Administration/Global Human Resources Certificate, C25370C1 - Office Management/Basic Office Management Certificate",[2861762.0],1
"C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C55180C12 - Criminal Justice Technology/Terrorism Studies Certificate, C55180C5 - Criminal Justice Technology/Courts and the Law Certificate, C55180C6 - Criminal Justice Technology/Principles of Corrections Cert, C5518CC1 - Criminal Justice Technology Forensic Science Certificate",[1034267.0],1
"C25120C21 - Business Administration /Govern Procure & Contracting Cert, C25120C23 - Business Administration/Operations Leadership Certificate, C25620C2 - Supply Chain Management/Trucking Logistics Foundations Cert",[2649564.0],1
"C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C8 - Medical Office Administration/Adv Coding and Auditing Cert",[1381284.0],1
"C25120C27 - Business Administration/Operations Analytics Certificate, C25590C37 - Information Technology/Business Intelligence Certificate",[2997167.0],1
"C25120C9 - Business Administration /Organizational Leadership Cert, C25800C4 - Accounting and Finance/Small Business Accounting Certificate",[2939173.0],1
"C25120H1 - Business Administration, C25370H2 - Office Management/Legal Office Foundations Certificate",[2997647.0],1
"C25120H1 - Business Administration, C25450H1 - Simulation and Game Development",[2984043.0],1
"C25120C10 - Business Administration /Business Foundations Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25120C20 - Business Administration /Nonprofit & Commun Leadership Cert",[596804.0],1
"C25120C10 - Business Administration /Business Foundations Certificate, C25120C21 - Business Administration /Govern Procure & Contracting Cert",[2567396.0],1
"C25120C10 - Business Administration /Business Foundations Certificate, C55490 - Elementary Education Residency Licensure",[329915.0],1
"C25120C11 - Business Administration/Small Business Operations Cert, C25120C12 - Business Administration /Entrepreneurship Certificate, C25120C13 - Business Administration /E-Marketing Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert, C25120C15 - Business Administration /Total Quality Management Cert, C25120C16 - Business Administration /Project Leadership Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C18 - Business Administration /Recruitment & Staffing Spec Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25120C20 - Business Administration /Nonprofit & Commun Leadership Cert, C25120C21 - Business Administration /Govern Procure & Contracting Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C23 - Business Administration/Operations Leadership Certificate, C25120C24 - Business Administration/Project Management Certificate, C25120C25 - Business Administration/Global Human Resources Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C25800C1 - Accounting and Finance/Payroll Accounting Certificate, C25800C2 - Accounting and Finance/Tax Preparer Certificate, C25800C3 - Accounting and Finance/Computerized Accounting Certificate, C25800C4 - Accounting and Finance/Small Business Accounting Certificate, C25800C5 - Accounting and Finance/Cost/Managerial Account Certificate",[2823870.0],1
"C25120C11 - Business Administration/Small Business Operations Cert, C25120C16 - Business Administration /Project Leadership Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",[920484.0],1
"C25120C10 - Business Administration /Business Foundations Certificate, C55460C3 - Emergency Management/Disaster Management Certificate",[2660120.0],1
"C25120C11 - Business Administration/Small Business Operations Cert, C25200C1 - Healthcare Management Technology/HC Access Cust Serv Sp Cert",[2609900.0],1
"C25590C2 - Information Technology/C# Programming Certificate, C25590C3 - Information Technology/Mobile Application Development Cert",[2861410.0],1
"C25590H3 - Information Technology/Haredware and Software Certificate, C25590HE - Information Technology/Computer Science Transfer Certificate",[2985298.0],1
"C25590H3 - Information Technology/Haredware and Software Certificate, C25590H4 - Information Technology/Computer Technologies Certificate",[2985288.0],1
"C25590C37 - Information Technology/Business Intelligence Certificate, C25590C5 - Information Technology/Database Programming Certificate",[770766.0],1
"C25590H2 - Information Technology/Digital Media Basics Certificate, C25590HC - Information Technology/Audio and Video Editing Cert",[2785658.0],1
"C25590C30 - Information Technology/Audio and Video Editing Certificate, C25590C32 - Information Technology/UI-UX Certificate",[2944449.0],1
"C25590C21 - Information Technology/Network Defense Spec Certificate, C25590C37 - Information Technology/Business Intelligence Certificate",[2547629.0],1
"C25590C1 - Information Technology/Java Programming Certificate, C25590C20 - Information Technology/Python Programming Certificate, C25590C3 - Information Technology/Mobile Application Development Cert",[2590181.0],1
"C25590C1 - Information Technology/Java Programming Certificate, C25590C2 - Information Technology/C# Programming Certificate",[2918082.0],1
"C25590C17 - Information Technology/Cyber Security Operations Certificate, C25590C8 - Information Technology/Cisco Networking Certificate",[2989536.0],1
"C25590C17 - Information Technology/Cyber Security Operations Certificate, C25590C36 - Information Technology/CompTIA Essentials Certificate",[2812379.0],1
"C25590C17 - Information Technology/Cyber Security Operations Certificate, C25590C21 - Information Technology/Network Defense Spec Certificate",[2967468.0],1
"C25590C16 - Information Technology/Cyber Crime Analysis Certificate, C25700C1 - Intelligence Studies/Intelligence Operations Certificate",[2946092.0],1
"C25590C16 - Information Technology/Cyber Crime Analysis Certificate, C25590C18 - Information Technology Basics Certificate, C25590C20 - Information Technology/Python Programming Certificate, C25590C26 - Information Technology/Cisco Entry Networking Certificate, C25590C9 - Information Technology/Computer Technologies Certificate",[1149983.0],1
"C25590C18 - Information Technology Basics Certificate, C25590C2 - Information Technology/C# Programming Certificate, C25590C20 - Information Technology/Python Programming Certificate, C25590C27 - Information Technology/Intro To iOS Devel Using Swift Cert, C25590C3 - Information Technology/Mobile Application Development Cert, C25590C5 - Information Technology/Database Programming Certificate",[2966303.0],1
"C25590C2 - Information Technology/C# Programming Certificate, C25590C20 - Information Technology/Python Programming Certificate, C25590C3 - Information Technology/Mobile Application Development Cert",[2916671.0],1
"C25590C17 - Information Technology/Cyber Security Operations Certificate, C55120 - Basic Law Enforcement Training (Certificate)",[2981379.0],1
"C25590C15 - Information Technology/Cyber Crime Fundamentals Certificate, C25590C16 - Information Technology/Cyber Crime Analysis Certificate",[2888501.0],1
"C25590C15 - Information Technology/Cyber Crime Fundamentals Certificate, C25590C16 - Information Technology/Cyber Crime Analysis Certificate, C25700C2 - Intelligence Studies/Geospatial Intelligence Certificate",[2934524.0],1
"C25590C15 - Information Technology/Cyber Crime Fundamentals Certificate, C25590C16 - Information Technology/Cyber Crime Analysis Certificate, C55460C3 - Emergency Management/Disaster Management Certificate",[2894881.0],1
"C25590C10 - Information Technology/Linux Certificate, C25590C17 - Information Technology/Cyber Security Operations Certificate",[2535914.0],1
"C25590C11 - Information Technology/Hardware and Software Certificate, C25590C13 - Information Technology/Microsoft Desktop Support Certificate, C25590C18 - Information Technology Basics Certificate",[2949600.0],1
"C25590C11 - Information Technology/Hardware and Software Certificate, C25590C17 - Information Technology/Cyber Security Operations Certificate",[2641212.0],1
"C25590C11 - Information Technology/Hardware and Software Certificate, C25590C9 - Information Technology/Computer Technologies Certificate",[2853190.0],1
"C25590C12 - Information Technology/Microsoft Networking Certificate, C25590C29 - Information Technology/Cloud Management Certificate, C25590C8 - Information Technology/Cisco Networking Certificate",[2927075.0],1
"C35130C1 - Electrical Systems Technology/Basic Elec Motors & Cont & Plc, C50420C1 - Welding Technology/Basic Welding Certificate",[2764616.0],1
"C35130C1 - Electrical Systems Technology/Basic Elec Motors & Cont & Plc, C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, D35130 - Electrical System Technology Diploma",[2922837.0],1
"C35130C1 - Electrical Systems Technology/Basic Elec Motors & Cont & Plc, C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, C50420C1 - Welding Technology/Basic Welding Certificate, D50420 - Welding Technology",[2951711.0],1
"C35100H1 - Air Conditioning, Heating & Refrigeration Technology/Basic, C50420H1 - Welding Technology/Basic Welding Technlology Certificate",[2983632.0],1
"C35100 - Basic A/C, Heating & Refrigeration, C5518CC1 - Criminal Justice Technology Forensic Science Certificate, D35100 - Air Conditioning, Heating & Refrigeration Technology Diploma",[2962232.0],1
"C30100H1 - Graphic Design/Graphic Design Basics Certificate, C45630H1 - Health and Fitness Science Certificate",[2965287.0],1
"C25800C6 - Accounting and Finance/Accounting Foundations Certificate, C25800C7 - Accounting and Finance/Consumer Financial Services Found Cer, C25800C8 - Accounting and Finance/Business Financial Services Cert",[958149.0],1
"C30100C4 - Graphic DesignAdobe Applications Certificate, C30100C5 - Graphic Design/Digital Illustration Certificate, C30100C6 - Graphic Design/Illustration Basics Certificate",[2814459.0],1
"C25800C4 - Accounting and Finance/Small Business Accounting Certificate, D55260 - Funeral Service Education/NC Funeral Director",[2988487.0],1
"C30100C1 - Graphic Design/Digital Graphic Certificate, C30100C2 - Graphic Design/Graphic Design Basics Certificate, C30100C4 - Graphic DesignAdobe Applications Certificate",[1185489.0],1
"C25800H1 - Accounting and Finance, C55180H1 - Criminal Justice Technology/Introduct Criminal Justice Cert",[2994863.0],1
"C25590HC - Information Technology/Audio and Video Editing Cert, C30100H1 - Graphic Design/Graphic Design Basics Certificate",[3007029.0],1
"C25620C1 - Supply Chain Management/Logistics & Distributions Mgmt Cert, C25620C3 - Supply Chain Management/Supply Chain Analytics Certificate",[2957030.0],1
"C25620C2 - Supply Chain Management/Trucking Logistics Foundations Cert, C50420C1 - Welding Technology/Basic Welding Certificate, D50420 - Welding Technology",[2962986.0],1
"C25800C1 - Accounting and Finance/Payroll Accounting Certificate, C25800C2 - Accounting and Finance/Tax Preparer Certificate, C25800C3 - Accounting and Finance/Computerized Accounting Certificate, C25800C4 - Accounting and Finance/Small Business Accounting Certificate, C25800C5 - Accounting and Finance/Cost/Managerial Account Certificate",[2863931.0],1
"C25800C4 - Accounting and Finance/Small Business Accounting Certificate, C55180C10 - Criminal Justice Technology/Criminal Just Fundamentals Cert, C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert",[2881460.0],1
"C25590H3 - Information Technology/Haredware and Software Certificate, C60130H1 - Collision Repair and Refinishing Technology Certificate",[3004271.0],1
"C25590H5 - Information Technology/Network Defense Specialist Cert, C25590HC - Information Technology/Audio and Video Editing Cert",[3001242.0],1
"C25590H4 - Information Technology/Computer Technologies Certificate, C25800H1 - Accounting and Finance",[2998065.0],1
"C25590H4 - Information Technology/Computer Technologies Certificate, C25590HE - Information Technology/Computer Science Transfer Certificate",[2983934.0],1
"C25590H3 - Information Technology/Haredware and Software Certificate, C55180H1 - Criminal Justice Technology/Introduct Criminal Justice Cert",[2821375.0],1
"C25590HE - Information Technology/Computer Science Transfer Certificate, C25800H1 - Accounting and Finance",[2999235.0],1
"C25590H8 - Information Technology/Python Programming Certificate, C25590HE - Information Technology/Computer Science Transfer Certificate",[2984296.0],1
"C25590H5 - Information Technology/Network Defense Specialist Cert, C55180H1 - Criminal Justice Technology/Introduct Criminal Justice Cert, C55180H3 - Criminal Justice Technology/Private Invest/Loss Prevent Cert",[2997778.0],1
"C25590C20 - Information Technology/Python Programming Certificate, C25590C3 - Information Technology/Mobile Application Development Cert",[2890927.0],1
"C35180C1 - Carpentry/General Contractor's Lic Prep Certificate, D35300 - Plumbing (Diploma)",[2850065.0],1
"C35140C4 - Building Construction Technology/General Maint Certificate, C50420C1 - Welding Technology/Basic Welding Certificate, D50210 - Computer-Integrated Machining/Manual Machining Diploma, D50420 - Welding Technology",[447376.0],1
"C35180C1 - Carpentry/General Contractor's Lic Prep Certificate, D35130 - Electrical System Technology Diploma, D35180 - Carpentry (Diploma)",[2925991.0],1
"C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, D35100 - Air Conditioning, Heating & Refrigeration Technology Diploma, D35130 - Electrical System Technology Diploma",[3004170.0],1
"C35300C1 - Plumbing (Diploma)/Basic Plumbing Certificate, C50420C1 - Welding Technology/Basic Welding Certificate, D35300 - Plumbing (Diploma), D50420 - Welding Technology",[2989523.0],1
"C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, C40100C2 - Architectural Technology/Green/Sustainable Arch Cert., D35130 - Electrical System Technology Diploma",[3008845.0],1
"C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, C35300C1 - Plumbing (Diploma)/Basic Plumbing Certificate, D35300 - Plumbing (Diploma)",[1646277.0],1
"C55180C10 - Criminal Justice Technology/Criminal Just Fundamentals Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert, C55180C5 - Criminal Justice Technology/Courts and the Law Certificate",[2947938.0],1
"C55170 - Natural Hai Care Certificate, D55140 - Cosmetology Diploma",[2998614.0],1
"C50420H1 - Welding Technology/Basic Welding Technlology Certificate, C55180H1 - Criminal Justice Technology/Introduct Criminal Justice Cert",[2991080.0],1
"C40140H1 - Civil Engineering Technology Certificate, C55180H1 - Criminal Justice Technology/Introduct Criminal Justice Cert",[3001781.0],1
"C50210C1 - Computer-Integrated Machining/Basic Machining Certificate, C50240C2 - Industrial Systems Technology/Mechanical Maintenance Cert",[2995450.0],1
"C50210H1 - Computer-Integrated Machining/Basic Computer-Integ Mach Cert, C50240H1 - Industrial Systems Technology/Basic Mechanical Maint Cert",[3008445.0],1
"C50240C1 - Industrial Systems Technology/Electrical PLC App Cert, C50240C2 - Industrial Systems Technology/Mechanical Maintenance Cert",[2680555.0],1
"C50420C1 - Welding Technology/Basic Welding Certificate, C60130C2 - Collision Repair and Refinishing Technology/Estimating Cert, C60130C3 - Collision Repair & Ref/Non-Structural & Refinishing Cert., C60130C4 - Collision Repair and Refinishing Technology/Structural Cert, C60130C5 - Basic Collision Repair & Refinishing Technology Certificate, D50420 - Welding Technology, D60130D1 - Collision Repair and Refinishing Technology Diploma",[2991493.0],1
"C35140C3 - Building Construction Technology/Intro to Bldg Const Cert, C35180C1 - Carpentry/General Contractor's Lic Prep Certificate",[1612134.0],1
"C35130H2 - Electrical Systems Technology/Intro to Photovaltaic Sys Cert, C35300H1 - Plumbing (Diploma)/Basic Plumbing Certificate",[3016082.0],1
"C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, D35130 - Electrical System Technology Diploma, D50420 - Welding Technology",[2994008.0],1
"C55180C8 - Criminal Justice Technology/Private Invest/Loss Prevent Cert, D50420 - Welding Technology",[333383.0],1
"C55180C12 - Criminal Justice Technology/Terrorism Studies Certificate, C55180C6 - Criminal Justice Technology/Principles of Corrections Cert, C55180C9 - Criminal Justice Technology/Homeland Security Certificate, C55240C1 - Fire Protection Technology Certificate, C55240C2 - Fire Protection Technology/Fundamentals of Arson Certificate",[2766707.0],1
"C55180C10 - Criminal Justice Technology/Criminal Just Fundamentals Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert, D55180 - Criminal Justice Technology/Policing Diploma",[2979183.0],1
"C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert, C55180C5 - Criminal Justice Technology/Courts and the Law Certificate, C55180C7 - Criminal Justice Technology/Criminal Investigations Cert",[2657681.0],1
"C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert, D55180 - Criminal Justice Technology/Policing Diploma",[2961800.0],1
"C55220C2 - Early Childhood Education/Child Care Development Certificate, C55290 - Infant/Toddler Care (Certificate), C55860 - Early Childhood Preschool",[2747736.0],1
"C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C7 - Early Childhood Education/Special Education Certificate",[2645333.0],1
"C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat",[2744626.0],1
"C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat, C55290 - Infant/Toddler Care (Certificate), C55850 - Early Childhood Administration",[2664184.0],1
"C55180H1 - Criminal Justice Technology/Introduct Criminal Justice Cert, C55460H1 - Emergency Management Certificate",[3004352.0],1
"C55180C12 - Criminal Justice Technology/Terrorism Studies Certificate, C55180C9 - Criminal Justice Technology/Homeland Security Certificate, C55460C1 - Emergency Management Certificate",[2630917.0],1
"C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert, C5518CC1 - Criminal Justice Technology Forensic Science Certificate",[2907695.0],1
"C55240C1 - Fire Protection Technology Certificate, C55460C2 - Emergency Management/Incident Management Certificate, C55460C3 - Emergency Management/Disaster Management Certificate",[2928851.0],1
"C60130C2 - Collision Repair and Refinishing Technology/Estimating Cert, C60130C3 - Collision Repair & Ref/Non-Structural & Refinishing Cert., C60130C4 - Collision Repair and Refinishing Technology/Structural Cert, D60130D1 - Collision Repair and Refinishing Technology Diploma",[3008436.0],1
"C55240H1 - Fire Protection Technology/Fire Protection Tech Certificate, C55240H2 - Fire Protection Technology/Fundamentals of Arson Certificate, C60130H1 - Collision Repair and Refinishing Technology Certificate",[3001371.0],1
"C60130C2 - Collision Repair and Refinishing Technology/Estimating Cert, C60130C4 - Collision Repair and Refinishing Technology/Structural Cert",[2939491.0],1
"C60130C2 - Collision Repair and Refinishing Technology/Estimating Cert, C60130C4 - Collision Repair and Refinishing Technology/Structural Cert, D60130D1 - Collision Repair and Refinishing Technology Diploma",[2953458.0],1
"C60130C3 - Collision Repair & Ref/Non-Structural & Refinishing Cert., C60130C4 - Collision Repair and Refinishing Technology/Structural Cert, C60130C5 - Basic Collision Repair & Refinishing Technology Certificate, D60130D1 - Collision Repair and Refinishing Technology Diploma",[2775134.0],1
"C60130C3 - Collision Repair & Ref/Non-Structural & Refinishing Cert., C60130C4 - Collision Repair and Refinishing Technology/Structural Cert, C60130C5 - Basic Collision Repair & Refinishing Technology Certificate",[1921956.0],1
"D35130 - Electrical System Technology Diploma, D50420 - Welding Technology",[2988682.0],1
"D50420 - Welding Technology, D60160 - Automotive Systems Technology Diploma",[2923093.0],1
